state,social_vulnerability_index,biometric_update_ratio,growth_volatility,integrated_risk_score,service_risk_category,rural_population_percentage
West Bengal,29.30021796674228,0.1111111111111111,0.0,51.72008718669692,Medium Risk,0.6812638005024644
Rajasthan,32.876844153754575,0.7158248064829575,59.12925535173559,41.46470681326154,Medium Risk,0.7512987057604246
Ladakh,52.115998841416776,0.6062781229912149,0.3874859217438991,35.03150379389382,Low Risk,0.6238851783093798
Meghalaya,47.78707701824384,0.6465329898062059,6.302632532325851,33.19139566228091,Low Risk,0.7993015579618921
Odisha,37.65033642422876,0.7907818442251251,40.59379568876483,33.17700307851823,Low Risk,0.833143859880844
Jharkhand,35.67520669528029,0.7118223842772397,23.249500503516536,30.65773085199337,Low Risk,0.7595177405305799
Andhra Pradesh,29.22502973129738,0.5194805194805194,0.2886751345948129,30.389749843378706,Low Risk,0.6663653846547188
Manipur,38.20495858842878,0.6001322509636049,0.8362541515957145,29.94091384310223,Low Risk,0.7079082034628548
Assam,35.92982572511229,0.6203574923681884,3.293530025189116,28.80224438963279,Low Risk,0.8590462807031667
Bihar,33.684587715582296,0.6360409374073765,3.7971886624301328,27.252720265075823,Low Risk,0.8870501642986555
Sikkim,36.92265962118276,0.6617034996189695,0.8132931857031523,26.19399290006298,Low Risk,0.748470708854084
Uttar Pradesh,29.60474596017597,0.655250770229368,3.2563136116368656,24.43127235387604,Low Risk,0.777315741473646
Chhattisgarh,36.7274996375662,0.7054381543260533,2.429268857547904,24.37089383007388,Low Risk,0.7675791356167997
Telangana,29.02889144206145,0.6454829611778005,2.024888372851076,24.296228338760088,Low Risk,0.6238851783093798
Arunachal Pradesh,44.2596359980343,0.7607418587731967,1.341144618378885,24.117873315043926,Low Risk,0.77064189684815
Himachal Pradesh,36.04490746407825,0.8153649167733675,18.23401971680984,23.68370153910045,Low Risk,0.8996952773081381
Tamil Nadu,23.869388380397496,0.7815299396248746,25.538808001049336,23.05717911108944,Low Risk,0.5160238751338759
Madhya Pradesh,33.57062481693406,0.789490241552919,10.220496019056226,21.339269485148566,Low Risk,0.7236639572034619
Nagaland,45.32667476765314,0.83643765981938,1.7907486884427015,20.730424865338527,Low Risk,0.7114149998332071
Tripura,37.06904504874298,0.778055923689851,1.7292954854040004,20.46569655604159,Low Risk,0.7383030155553324
Haryana,27.69305874614016,0.7201042898985586,3.500377647074058,20.350929439933843,Low Risk,0.6512192077916453
Karnataka,27.858581127305506,0.7354841426780224,4.0126421968447445,19.784528102111626,Low Risk,0.6132932785317338
Gujarat,28.365660289436672,0.7591665752241948,6.694528519631955,19.653564866920696,Low Risk,0.5740368266602021
Kerala,24.33768220157912,0.7831959742011447,15.13067129253992,19.63672969033896,Low Risk,0.5229929682520785
Uttarakhand,29.68977858741269,0.7485542620345118,2.65530491381252,19.37304519515724,Low Risk,0.6976750226941675
Maharashtra,26.23904219301913,0.7522435649669218,7.2810927512438015,19.36407298038445,Low Risk,0.5477769910322849
Punjab,26.97163157497552,0.7847893372317462,10.257902001954244,18.95864433519158,Low Risk,0.6251660128280165
Mizoram,39.90202460380981,0.8276781807194604,0.8188340068590539,18.690805095009733,Low Risk,0.4788845485715535
Goa,22.87875224024025,0.7515300706881366,8.9077755461102,18.607555467016525,Low Risk,0.3782749246680768
Delhi,9.860317542601454,0.6513698163788557,5.006369199274525,17.328799137359223,Low Risk,0.024960893060084
Chandigarh,10.064609287319511,0.6467986316909521,2.870125308351913,16.92747111141624,Low Risk,0.0274679046852053
Lakshadweep,38.93551685053945,0.8744931809804645,0.4984570920914357,15.74280588428628,Low Risk,0.2193321235245761
Puducherry,18.330243821097543,0.7814086692605228,0.4964854909985824,12.377509388897828,Low Risk,0.3166785928636735
